CountryName,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,4.715360165,4.798500061,4.871779919,,4.357140064,4.623690128,,4.702529907,4.827320099,5.797770023,6.750989914,5.914380074,6.34758997,6.442770004,5.850840092,5.887829781,5.49105978,,,,,,,
Africa Eastern and Southern,AFE,3.606129885,4.341670036,,,3.74496007,4.00578022,3.871469975,,4.28008008,,4.496590137,4.639014482,4.931210041,4.689917088,4.717299938,4.743500233,4.691999912,4.820445061,4.739749908,4.541950226,4.35243988,4.632254839,3.906225443,
Afghanistan,AFG,,,,,,,4.684760571,4.174895287,4.383672237,4.810639858,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009,4.543970108,4.343190193,,,,,,
Africa Western and Central,AFW,2.565020084,2.42614007,2.580104947,2.447590113,2.427605033,2.656599998,2.558520079,2.737470031,2.498270035,2.907900095,3.014410019,2.772005081,2.881599903,3.029710054,2.914229989,3.195421457,2.899100065,3.535589933,3.071542978,3.100235343,3.403950334,3.282970428,2.928443313,
Angola,AGO,2.607530117,,,,,2.120110035,2.281460047,,,2.920000076,3.421319962,3.24000001,3.081910849,3.869999886,2.930000067,3.099999905,2.754936695,2.466878891,2.044701338,2.073064327,2.744996548,2.297108889,2.332125902,
Albania,ALB,3.430170059,3.458699942,3.117799997,3.138230085,3.227519989,3.281549931,3.191459894,3.275929928,3.509226084,,3.41307497,3.240008354,3.30906105,3.539299965,3.216967106,3.437969923,3.962090015,3.611720085,3.152944803,3.916239977,3.342299938,3.0904212,,
Andorra,AND,,,1.65971005,,1.544119954,1.644970059,2.244899988,2.104690075,2.873929977,3.142920017,2.976629972,2.98706007,2.565778971,2.506160021,3.074209929,3.28034997,3.237070084,3.217089891,3.246720076,3.15060997,2.856162786,2.583972216,2.666229963,
Arab World,ARB,,,5.032866716,,5.021100044,,3.930559993,,4.33701992,,,,4.124774933,,,,,,,,,,,
Argentina,ARG,4.580309868,4.833740234,4.017340183,3.535049915,3.486520052,3.860009909,4.128210068,4.462600231,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.545489788,5.454319954,4.877739906,4.777599812,5.279640198,4.647600174,,
Armenia,ARM,2.772730112,2.469439983,2.135040045,2.145040035,2.486730099,2.712029934,2.715770006,3.018939972,3.172729969,3.840790033,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011,2.75812006,2.707590103,2.255867958,2.571912289,2.705559969,2.771339893,2.49326992,
American Samoa,ASM,,,,,,,14.7170496,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,3.395250082,,,,,,,2.508889914,,,2.356193304,2.647289991,2.553863287,2.655928612,2.909459352,2.876909018,3.239021063,3.457345009,,3.880490303,3.5633533,
Australia,AUS,4.884079933,5.226138592,5.307855129,5.246357441,5.194594383,4.89673996,4.738430023,4.653649807,4.630519867,5.081319809,5.538119793,5.06814003,4.866670132,5.229090214,5.164549828,5.31551981,5.28689003,5.138229847,5.124310017,5.134290218,5.608449936,5.556048393,,
Austria,AUT,5.588809967,5.575479984,5.522130013,5.361830235,5.302430153,5.249370098,5.226520061,5.146900177,5.263959885,5.730249882,5.700479984,5.592269897,5.480400085,5.547110081,5.447619915,5.456580162,5.47961998,5.371590137,5.226550102,5.21750021,5.569009781,4.986499786,,
Azerbaijan,AZE,3.853990078,3.503420115,3.154459953,3.286149979,3.447700024,2.974620104,2.555520058,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,3.176460028,4.332049847,3.702080011,2.904259443,
Burundi,BDI,2.645479918,2.903909922,3.004930019,,3.74496007,3.632159948,,,5.192900181,6.171949863,6.775249958,6.319250107,6.167779922,5.995399952,6.784520149,6.371339798,4.691999912,4.762020111,5.078649998,5.346684456,5.321585178,4.871141911,,
Belgium,BEL,5.532732964,5.676054955,5.789683819,5.891302109,5.629337788,5.795859814,5.62658596,5.518233776,6.332940102,6.458099842,6.442590237,6.431990147,6.255764961,6.630529881,6.590469837,6.451570034,6.461730003,6.425340176,6.381070137,6.33397007,6.812329769,6.234233379,,
Benin,BEN,2.113660097,2.365099907,2.159490108,2.283159971,2.566900015,2.656680107,2.56340003,2.363310099,2.777280092,3.089270115,3.679970026,4.400000095,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.931619883,3.002736092,2.939019918,3.193180799,3.210926771,
Burkina Faso,BFA,,,,,,3.941139936,3.982189894,4.07983017,,,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,,5.628469944,5.488609791,5.407136917,5.150865078,5.224015236,5.276512146,
Bangladesh,BGD,2.125080109,2.171930075,2.017149925,2.069390059,1.940140009,,2.131289959,2.202219963,2.05456996,1.939419985,,2.132699966,2.046670675,1.966160059,2.098716736,1.872254133,2.221199989,1.850400329,1.655891299,1.681388021,1.765280604,1.831179976,1.972786188,
Bulgaria,BGR,4.219832897,3.384239912,3.386080027,3.998450041,2.319950104,4.108799934,3.903460026,3.680340052,4.219089985,4.274290085,3.857969999,3.546979904,3.476370096,4.058229923,4.070053101,3.912084341,3.393708229,4.075270176,4.045289993,4.19715023,4.502870083,4.492647648,,
Bahrain,BHR,,,,,,,2.874409914,2.575000048,2.496779919,,,,2.645309925,2.476890087,2.467459917,2.674540043,3.25597024,2.324520111,2.808009863,2.384604454,2.552374601,2.220525265,1.987460494,
"Bahamas, The",BHS,2.232840061,,,,,,,,,,,2.34986043,2.452630043,2.472421408,2.448431969,2.399080276,2.603868723,2.806545019,2.566341162,2.700974464,2.866807222,3.573005915,2.94846344,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,6.196619987,,,6.310182095,5.712259769,5.871029854,6.076960087,5.152100086,5.713215351,4.368939877,5.220039845,4.684790134,4.959640026,5.009419918,4.818329811,4.787509918,4.946549892,4.795000076,5.381100178,4.979489803,4.862639904,4.606410027,,
Belize,BLZ,3.778970003,4.322100163,,3.938060045,4.043340206,,,,4.328110218,4.828690052,5.267479897,5.51967907,5.47151041,5.141980171,5.147729874,5.357739925,5.680840015,5.902510166,6.074989796,5.90775013,5.152190208,5.856490135,4.473050117,
Bermuda,BMU,,,,1.666270018,1.775879979,1.988770008,,,,2.289200068,2.306689978,,,,1.536880016,1.501639962,1.915443897,1.324959993,1.93595469,1.926798224,1.890087724,1.884916902,1.922213435,
Bolivia,BOL,,,7.195047855,6.629619122,6.847718239,6.713525295,6.434219837,6.720489979,6.723020077,7.574860096,6.973790169,6.450560093,6.627999783,6.803219795,7.478129864,8.143429756,8.15060997,8.097240448,8.015870094,8.091039658,8.437109947,,,
Brazil,BRA,3.948930025,3.844680071,3.750370026,,3.974479914,4.4790802,4.870600224,4.974259853,5.268839836,5.463550091,5.648799896,5.737410069,5.855100155,5.838850021,5.948480129,6.24105978,6.314040184,6.32047987,6.088510036,5.963469982,5.771500111,,,
Barbados,BRB,4.71585989,6.055369854,5.880620003,6.245699883,6.024280071,5.669650078,,5.220449924,4.922599792,5.116260052,6.054180145,,5.262509823,5.148890018,6.143179893,5.383097649,4.697669983,4.363840103,5.424949169,4.111229897,4.202179909,4.975999832,4.508759975,
Brunei Darussalam,BRN,3.705909967,,,,,,,,,,2.046610117,3.322099924,2.889590025,,3.353189945,,4.425409794,,,,,,,
Bhutan,BTN,5.786759853,5.91573,,,6.609069824,7.287149906,,,4.911590099,4.741740227,4.12473011,4.765230179,,5.722750187,6.04489994,6.238259792,6.336563587,6.699768543,6.074201107,4.761352539,5.980710506,6.974162102,8.141788483,
Botswana,BWA,,,,,,10.67858982,,9.04666996,,9.825300217,,,9.258067131,8.017206192,8.223062515,8.394579887,8.73589325,7.809244633,7.905385971,8.398996353,8.058336258,,,
Central African Republic,CAF,1.612650037,,1.519569993,1.539800048,1.624529958,1.652220011,1.415060043,1.313320041,1.290009975,1.254580021,1.117609978,1.107920051,1.980347276,2.63821435,2.220153332,1.91022861,1.754088998,1.753650188,1.565876007,1.767920732,2.1446805,1.87251687,2.115091324,
Canada,CAN,5.423319817,4.953030109,4.993080139,,,4.765880108,,4.766409874,4.62612009,4.840579987,5.356369972,5.262050152,4.692587376,4.589009762,4.843589783,4.739379883,4.816420078,4.959969997,4.888979912,4.772930145,4.887949944,4.594006062,4.139571667,
Central Europe and the Baltics,CEB,4.983930111,5.228459835,5.179230213,5.057149887,4.834060192,4.810269833,4.825729847,4.595210075,4.839900017,4.946360111,4.723750114,4.56317997,4.717720032,4.538440228,4.486579895,4.817009926,4.65749979,4.075270176,4.243569851,4.273190022,4.721590042,5.001584053,,
Switzerland,CHE,4.658780098,4.822189808,5.17881012,5.384009838,5.314290047,5.084720135,4.841209888,4.583950043,4.757259846,4.925610065,4.802100182,4.856639862,4.898620129,4.913929939,4.930570126,4.99559021,4.981639862,5.017650127,4.930089951,5.014389992,5.291639805,5.044342995,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,3.757070065,,4.048810005,3.918689966,3.543070078,3.280169964,3.040149927,3.233160019,3.79189992,4.254759789,4.189539909,4.061729908,4.541704178,4.548140049,4.751679897,4.903900146,5.36646986,5.432789803,5.473060131,5.619969845,5.62514019,,,
China,CHN,,,,,,,,2.700734854,3.631788254,3.751522064,3.754642487,3.521965027,3.944094181,3.710476398,3.580334187,3.813829899,3.761115551,3.667450428,3.542494535,3.541054726,3.572956324,3.297843456,,
Cote d'Ivoire,CIV,2.40031004,2.444770098,2.810480118,2.864370108,2.911760092,2.919440031,2.819999933,3.016139984,3.098530054,3.173939943,3.246510029,2.865760088,3.434469938,3.458600044,3.314169884,3.494129896,3.935930014,3.736540079,3.211649895,3.440670013,3.78944993,3.372760057,3.515510082,
Cameroon,CMR,1.702849984,2.297339916,,2.822590113,2.795300007,2.65651989,2.539910078,2.87816,2.498270035,2.907900095,2.84803009,2.653369904,2.603060007,2.655479908,2.583960056,2.657919884,2.562340021,3.059629917,3.030960083,3.047399521,3.103901386,2.827640772,2.617684364,
"Congo, Dem. Rep.",COD,,,,,,,,,,,1.524979949,,,2.062210083,1.951429963,2.170439959,2.118690014,1.454949975,,,2.622638464,2.660484791,3.002521276,
"Congo, Rep.",COG,,,3.208319902,2.836159945,2.288130045,1.681020021,,,,,5.686729908,2.646529675,2.739230633,5.013881207,3.183710098,3.282579899,5.210515976,4.450520039,2.995480061,3.559468985,4.619013786,3.67454195,2.951592207,
Colombia,COL,3.511209965,3.708679914,4.268129826,4.325139999,4.079349995,4.020989895,3.916719913,4.083010197,3.938780069,4.776519775,4.83382988,4.466080189,4.370389938,4.878550053,4.629459858,4.470389843,4.477210045,4.535510063,4.449100018,4.510690212,5.265500069,,,
Comoros,COM,,,2.258419991,,,,,,4.42264986,,,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919,,,,,2.378050804,2.274853945,2.431644201,
Cabo Verde,CPV,,,7.876820087,,7.476640224,,6.529600143,4.959819794,5.034649849,4.865869999,5.076580048,4.597849846,5.397695541,4.561570168,4.521349907,4.806220055,4.754759789,4.592780113,4.787922859,4.138510227,,6.037500858,,
Costa Rica,CRI,4.666950226,4.832029819,5.150440216,5.133739948,4.890629768,,4.616139889,4.63451004,4.886970043,6.010300159,6.565740108,6.379889965,6.582399845,6.687399864,6.67952013,6.87349987,6.893959999,7.069809914,6.769919872,6.738080025,6.62898016,6.281710148,,
Caribbean small states,CSS,3.869560003,4.223160028,4.459119916,3.696724892,3.912549973,4.616419792,,5.49022007,6.191319942,6.198480129,6.370600224,6.266640186,4.371143818,4.462421417,4.293595433,4.301859856,4.540880203,4.281205893,4.315299869,4.381144285,4.912137508,4.320009947,4.079945326,
Cuba,CUB,7.704810143,8.358090401,9.571169853,9.940859795,10.26823044,10.55778027,9.057169914,11.86820984,14.05908012,13.12485981,12.83730984,,11.55166054,10.67169571,9.607468605,8.963336945,9.013133049,,,9.046969414,11.52479649,,,
Curacao,CUW,,,,,,,,,,,,,6.293713093,5.10559988,,7.360690117,7.234452724,,6.812981606,6.624621391,7.725708485,7.01665163,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,2.316178799,2.215896606,,,2.866097927,
Cyprus,CYP,4.9895401,5.11552,5.581669807,6.670229912,6.117720127,6.286670208,6.330269814,6.280829906,6.722760201,7.205450058,6.525599957,6.520420074,5.911854744,6.467470169,6.421110153,6.304910183,6.11811018,5.69961977,5.039629459,5.21296978,5.686289787,5.61941576,,
Czechia,CZE,3.64034009,3.732830048,3.95878005,4.117280006,3.992389917,3.865910053,4.195509911,3.84717989,3.727190018,4.14605999,4.033500195,4.242090225,4.220709801,4.046760082,3.965229988,5.751820087,5.553730011,3.806159973,4.266059875,4.542469978,4.721590042,5.053264141,,
Germany,DEU,4.068152428,4.147081375,4.163057327,4.1710186,4.10064888,4.62490797,4.0252738,3.92246604,4.549240112,4.340054035,5.095880032,4.984250069,4.928440094,4.935389996,4.921020031,4.855150223,4.839230061,4.871829987,4.979330063,5.116769791,5.587590218,4.530963898,,
Djibouti,DJI,9.659999847,7.805429935,8.447600365,8.889849663,9.264670372,8.365889549,8.278779984,8.40625,,,4.49022007,,6.351275444,4.647825241,4.384075165,3.598949909,3.922260046,3.733449936,3.751430035,,,,,
Dominica,DMA,,,,,,,,,,,,,4.393104553,4.464482784,4.5245924,3.408580065,5.129719734,4.766750813,5.153604507,5.534490108,4.69630003,5.465845108,5.132938862,
Denmark,DNK,8.084340096,8.215450287,8.213029861,8.121930122,8.207630157,8.085570335,7.729909897,7.615600109,7.4760499,8.448880196,8.559550285,8.48486042,7.237820148,8.494429588,7.634850025,7.0104146,7.476940155,7.115859985,7.000150204,6.909699917,7.389110088,6.039748669,,
Dominican Republic,DOM,1.888290048,1.967829943,1.914010048,1.84465003,,,,2.046789885,,,,,,3.628181458,3.622434378,3.604002714,3.850495577,3.920267582,3.918210745,4.042768955,4.517698288,3.747313499,3.75098896,
Algeria,DZA,,,,,,,,,4.33701992,,,,7.637597084,7.29229641,7.31870079,7.962967396,7.344342709,6.401838303,6.324539185,6.036906719,7.042397499,6.299347401,,
East Asia & Pacific (excluding high income),EAP,4.208930016,2.92463994,2.89222002,,2.748470068,,,3.061334968,3.570144176,3.806730986,3.754642487,3.651097536,3.770506263,3.767437458,3.540122986,3.583600044,3.569971323,3.441989064,3.246532083,3.084998369,3.531990528,3.016882181,,
Early-demographic dividend,EAR,3.905099988,4.105879784,4.017340183,4.168700218,3.578660011,,4.209100008,3.618584991,4.125389934,4.422070026,4.027415037,4.07831502,4.404124975,4.421679974,4.0832901,3.969330072,3.886377811,3.931309938,3.751430035,3.487755537,4.102292538,3.881080627,3.692854047,
East Asia & Pacific,EAS,4.172099948,3.542490005,3.864919901,,3.652760029,,,3.178879976,3.508500099,3.887760758,3.599519968,3.605279922,3.64741993,3.760319948,3.562070012,3.583600044,3.569971323,3.441989064,3.310805082,3.355791569,3.616491556,3.297843456,,
Europe & Central Asia (excluding high income),ECA,3.469280005,3.384239912,3.227304935,3.482344985,3.337610006,3.642030001,3.634880066,3.546805024,3.80548799,4.274290085,3.847624302,3.935110092,3.959833622,4.058229923,4.041966438,3.912084341,3.962090015,4.323689938,4.300039768,4.056695104,4.389126778,4.439170837,,
Europe & Central Asia,ECS,4.388735056,4.650090218,4.530329943,5.040420055,4.834060192,4.878399849,4.907670021,4.633289814,4.839900017,4.968065023,5.03881979,4.896920204,4.880110025,4.935389996,4.925795078,4.909530163,4.839230061,4.780539989,4.67667985,4.654415131,4.862639904,5.001584053,,
Ecuador,ECU,1.150930047,,,,,,,,,4.342420101,4.507430077,4.726890087,4.643070221,5.004640102,5.260990143,4.998700142,4.362748146,4.614257813,4.621455193,4.225659847,4.114019871,3.691380024,3.64703989,
"Egypt, Arab Rep.",EGY,,,4.795883656,4.945630074,4.6707201,4.794429779,4.001780033,3.68460989,3.760829926,3.639190912,3.542651892,3.344296455,3.368304729,4.122526169,4.251385689,3.930848122,,,,,,,,
Euro area,EMU,5.274270058,5.33713007,5.258719921,5.085664988,4.961565018,4.976174831,4.95732069,4.674350023,5.069284916,5.559059858,5.412489891,5.113430023,5.221613884,5.270969868,5.176151276,4.969085217,4.839230061,4.871829987,4.804859877,4.896490097,5.143194914,5.061165571,,
Eritrea,ERI,,4.047160149,3.523900032,,3.148969889,,2.127000093,,,,,,,,,,,,,,,,,
Spain,ESP,4.166049957,4.111269951,4.134570122,4.173429966,4.157859802,4.144320011,4.184820175,4.254049778,4.528059959,4.912000179,4.856080055,4.896920204,4.46931982,4.349619865,4.301509857,4.284570217,4.225440025,4.205520153,4.179490089,4.230219841,4.899869919,4.585320473,,
Estonia,EST,5.339459896,5.228459835,5.43460989,5.273099899,4.876749992,4.810269833,5.856762409,4.619909763,5.484039783,5.960050106,5.517789841,5.014490128,4.717720032,4.843880177,4.394330025,5.144189835,5.15763998,4.961319923,5.239970207,5.295710087,5.519929886,5.910652637,,
Ethiopia,ETH,3.983109951,3.700289965,3.632450104,,,,5.490960121,5.451129913,5.408199787,4.422070026,4.496590137,5.485760212,5.56678009,4.498549938,4.602019787,5.15336132,5.061513901,5.499050617,5.220111847,4.480869293,4.090565205,4.065248966,3.736495018,
European Union,EUU,5.073889971,5.273744822,5.218975067,5.114180088,5.046380043,5.073949814,5.006971359,4.715410233,5.029049873,5.522659779,5.202460051,5.043055058,4.938925028,4.978315115,5.045284986,4.93930769,4.815949917,4.69770503,4.623439789,4.654415131,4.876560211,5.001584053,,
Fragile and conflict affected situations,FCS,,,,,,,,,,,3.41166997,3.608119965,3.333155036,3.571994901,3.671705008,3.476334929,3.02660501,3.789769888,3.013220072,3.540638566,,,,
Finland,FIN,5.709300041,5.840250015,6.0167799,6.167439938,6.157579899,6.02507019,5.928380013,5.67125988,5.83010006,6.459559917,6.504449844,6.445049763,7.148039818,7.124040127,7.102369785,7.032080173,6.851530075,6.363110065,6.275579929,6.416950226,6.634940147,5.693808556,,
Fiji,FJI,5.877739906,5.643109798,6.275869846,,6.209159851,5.167059898,5.655320168,5.894720078,4.25357008,4.498479843,,4.17305994,4.46150589,3.882889986,3.769609213,4.809317589,4.835902691,4.881334305,5.038042068,5.117683411,5.747410774,5.974759102,,
France,FRA,5.60021925,5.617800236,5.780975342,5.762063026,5.549233913,5.470050812,5.475310326,5.304528713,5.404079914,5.734070778,5.658596039,5.482983112,5.456467152,5.500378132,5.512063026,5.464240074,5.419069767,5.451600075,5.407169819,5.354430199,5.677840233,5.245027065,,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,6.706870079,,,,,,,,,,,,11.71922874,12.34388351,12.22816849,13.64651012,13.51266003,12.41641712,9.697045326,10.22599125,10.53921604,,,
Gabon,GAB,3.827090025,,,,,,,,,,3.078089952,2.987459898,3.013400078,3.029710054,2.666670084,2.824359894,2.667730808,3.555707932,3.071542978,2.874309778,3.398740768,2.700792789,2.207736492,
United Kingdom,GBR,4.014750004,4.098690033,4.615200043,4.800980091,4.730510235,4.926849842,4.973309994,4.921780109,4.906070232,5.059020042,5.687369823,5.558959961,5.627909184,5.526830196,5.59841013,5.553589821,5.415110111,5.431250095,5.198070049,5.248710155,5.497700214,5.327368259,,
Georgia,GEO,2.181050062,2.137500048,2.235019922,2.065599918,2.914200068,2.484319925,3.00364995,2.696870089,2.919549942,3.222379923,2.803647995,2.576139927,1.906100035,3.473221779,2.997686625,3.164874077,3.593869925,3.574429989,3.52105999,3.866669893,3.849859238,3.637589931,3.812849998,
